join_key,join_key_type,rule_action,rule_desc,rule_interface,rule_source,pf_rule_number,rule_tracker,rule_uuid,rule_sequence,rule_enabled
73c0defcd3ee6e8eca90c7b6a7120ef9,uuid,pass,allow DHCP client on WAN_VZW,WAN_VZW,mvc_filter,,,73c0defcd3ee6e8eca90c7b6a7120ef9,000001.1000008,1
740dda90-f863-4496-b5db-81dab99953da,uuid,pass,Monero P2P,wan,download_rules,,,740dda90-f863-4496-b5db-81dab99953da,71,1
74b9b46e-645f-46a3-a056-e4c75a94610c,uuid,pass,LAN to CAMS,lan,download_rules,,,74b9b46e-645f-46a3-a056-e4c75a94610c,141,1
7cbb35c0039a55210d6b44ea145aa0d6,uuid,pass,VLAN_IOT_NTP,VLAN_IOT,mvc_filter,,,7cbb35c0039a55210d6b44ea145aa0d6,26,1
7d6632f559f5b3a9976d36f3a31c7047,uuid,pass,Default allow LAN to Inet,LAN,mvc_filter,,,7d6632f559f5b3a9976d36f3a31c7047,18,1
80f1448c872a5c39163d02d1890df489,uuid,pass,LAN_2_VZW_InternetGW,LAN,mvc_filter,,,80f1448c872a5c39163d02d1890df489,10,1
84964e51-f85d-44d8-80c2-e5a2f3f5c461,uuid,pass,ROKUS_TO_LAN_1900,opt6,download_rules,,,84964e51-f85d-44d8-80c2-e5a2f3f5c461,391,1
8727c079-7536-4da9-bcaf-d47410c5969e,uuid,pass,Docker quillofphil HTTP,"lan,wan",download_rules,,,8727c079-7536-4da9-bcaf-d47410c5969e,31,1
89bee2f7-d50b-43bb-8282-a0cfea8c9d03,uuid,pass,VLAN VZW GW to LAN,opt7,download_rules,,,89bee2f7-d50b-43bb-8282-a0cfea8c9d03,431,1
8b59cf89872747f657c42f9e93dd52e0,uuid,block,sshlockout,floating,mvc_filter,,,8b59cf89872747f657c42f9e93dd52e0,000001.1000005,1
8c4d90fc-2bd3-4858-861c-48b01e46d862,uuid,rdr,P2Pool P2P network,wan,mvc_nat,,,8c4d90fc-2bd3-4858-861c-48b01e46d862,1000,
8c9401a899efdaa0ae5d61f07619d577,uuid,pass,VLAN_MEDIA_DNS,VLAN_MEDIA,mvc_filter,,,8c9401a899efdaa0ae5d61f07619d577,35,1
8df4f4b3-0778-4e83-a29f-64baf2491108,uuid,pass,VLAN_CAMS_DNS,opt5,download_rules,,,8df4f4b3-0778-4e83-a29f-64baf2491108,311,1
91425384-832f-410c-9b9c-27a90d20cd1c,uuid,pass,LAN Minecraft hairpin,lan,download_rules,,,91425384-832f-410c-9b9c-27a90d20cd1c,211,1
922b5f97-df28-49c3-aae7-0d7e4716072e,uuid,pass,Mirroring_high_ports_ROKU,opt6,download_rules,,,922b5f97-df28-49c3-aae7-0d7e4716072e,411,1
9365efff-dad7-4b10-9231-054c69f24f40,uuid,pass,VLAN_MEDIA_UDP_BROADCAST_RELAY,opt6,download_rules,,,9365efff-dad7-4b10-9231-054c69f24f40,381,1
967bf8e6-1aba-425c-a7b5-362c7498aabc,uuid,pass,AMP Minecraft,"lan,wan",download_rules,,,967bf8e6-1aba-425c-a7b5-362c7498aabc,51,1
96c31e478b3c65f8ba4a36cd5c7dd2e9,uuid,pass,VLAN_IOT_Internet,VLAN_IOT,mvc_filter,,,96c31e478b3c65f8ba4a36cd5c7dd2e9,28,1
97a4b05767f50fda0c6db9a40db7d47b,uuid,block,Block all IPv6,floating,mvc_filter,,,97a4b05767f50fda0c6db9a40db7d47b,000001.1000001,1
9ca5fe65-70a0-489a-a4be-649ee9dca24d,uuid,rdr,AMP Minecraft,"lan,wan",mvc_nat,,,9ca5fe65-70a0-489a-a4be-649ee9dca24d,100,
9f8e8807a9aa5a577d95dbaa8cfb1e2e,uuid,pass,VLAN_CAMS_Internet,VLAN_CAMS,mvc_filter,,,9f8e8807a9aa5a577d95dbaa8cfb1e2e,33,1
a45db05e-a768-4f5c-b3ab-46af71ea3555,uuid,pass,FriendCraft SVC NAT Rule 24454,"lan,wan",download_rules,,,a45db05e-a768-4f5c-b3ab-46af71ea3555,1,1
ab722b89801150f6eadce779526a8404,uuid,pass,FriendCraft SVC NAT Rule 24454,"LAN,WAN_ATT",mvc_filter,,,ab722b89801150f6eadce779526a8404,0,1
add09fc915886757c300419fc2ecc1e6,uuid,block,virusprot overload table,floating,mvc_filter,,,add09fc915886757c300419fc2ecc1e6,000001.1000007,1
aec15139-fcd1-490d-bded-ae037fddacbb,uuid,pass,LAN_TO_ROKUS,lan,download_rules,,,aec15139-fcd1-490d-bded-ae037fddacbb,171,1
af604d8fa5e03b471a8ef91be98ddf76,uuid,block,CrowdSec (IPv4) out,floating,mvc_filter,,,af604d8fa5e03b471a8ef91be98ddf76,000001.1000011,1
b40d2674-4f07-40cf-8368-8eacedd26d25,uuid,pass,VLAN_MEDIA_ICMP,opt6,download_rules,,,b40d2674-4f07-40cf-8368-8eacedd26d25,341,1
b477ac1c8f5237a59ee416b9d819ce58,uuid,block,block all targeting port 0,floating,mvc_filter,,,b477ac1c8f5237a59ee416b9d819ce58,000001.1000003,1
b7742298e96ac942013f7c8069844c9e,uuid,block,Block bogon IPv4 networks from WAN_VZW,WAN_VZW,mvc_filter,,,b7742298e96ac942013f7c8069844c9e,000005.1000047,1
b7cd97a164650b538506fb551a0369e7,uuid,block,Block bogon IPv4 networks from WAN_ATT,WAN_ATT,mvc_filter,,,b7cd97a164650b538506fb551a0369e7,000005.1000046,1
b8c5a8d907236acefc4929622b23f844,uuid,pass,VLAN_MEDIA_NTP,VLAN_MEDIA,mvc_filter,,,b8c5a8d907236acefc4929622b23f844,36,1
bbc9c9c4-bec6-43f6-9abc-a6fcb07c65b9,uuid,pass,VLAN_IOT_NTP,opt3,download_rules,,,bbc9c9c4-bec6-43f6-9abc-a6fcb07c65b9,261,1
bcdfb6490e0d601380bf8b51f6756489,uuid,pass,VLAN_CAMS_DNS,VLAN_CAMS,mvc_filter,,,bcdfb6490e0d601380bf8b51f6756489,31,1
c2874384-af48-4000-8b7a-11f38bf2554d,uuid,rdr,AMP HTTP,"lan,wan",mvc_nat,,,c2874384-af48-4000-8b7a-11f38bf2554d,600,
c3c4a98aff7142e9fa99f059abcfd51a,uuid,pass,LAN to CAMS,LAN,mvc_filter,,,c3c4a98aff7142e9fa99f059abcfd51a,14,1
c4466ddd-99a6-4910-a558-6aa04a6450e0,uuid,rdr,AMP HTTPS (admin.friendcraft.club),"lan,wan",mvc_nat,,,c4466ddd-99a6-4910-a558-6aa04a6450e0,400,
cedd2a8656e6a952219ab9e45e1ce0dd,uuid,block,IPv6 Deny All,LAN,mvc_filter,,,cedd2a8656e6a952219ab9e45e1ce0dd,9,1
d2977cb65048cb8b4b276c40f00dacb6,uuid,pass,let out anything from firewall host itself (force gw),floating,mvc_filter,,,d2977cb65048cb8b4b276c40f00dacb6,100000.1000052,1
d45c0e1b854741be1ab2bc0da98c7bde,uuid,pass,LAN to VPN,LAN,mvc_filter,,,d45c0e1b854741be1ab2bc0da98c7bde,19,1
d5e1a0fcdc8ea10841df292ea2577eec,uuid,pass,VLAN_MEDIA_Internet,VLAN_MEDIA,mvc_filter,,,d5e1a0fcdc8ea10841df292ea2577eec,42,1
d6372b5f-4619-4330-8a96-8def5c983c2a,uuid,pass,LAN_IOT_ICMP,lan,download_rules,,,d6372b5f-4619-4330-8a96-8def5c983c2a,111,1
d718cd34bfddf9cd6e8c4f0694936693,uuid,pass,LAN_MEDIA_mDNS,LAN,mvc_filter,,,d718cd34bfddf9cd6e8c4f0694936693,15,1
d7bdd9ca9c7c12e80c061f9e168c8005,uuid,pass,P2Pool P2P network,WAN_ATT,mvc_filter,,,d7bdd9ca9c7c12e80c061f9e168c8005,8,1
d7f0ce71f3731951adccfea7995117e5,uuid,pass,AMP HTTPS (admin.friendcraft.club),"LAN,WAN_ATT",mvc_filter,,,d7f0ce71f3731951adccfea7995117e5,1,1
df298f19b4dc9141533d0212e106ceac,uuid,pass,Docker quillofphil HTTPS,"LAN,WAN_ATT",mvc_filter,,,df298f19b4dc9141533d0212e106ceac,4,1
e0bf1c8fa22ac7baf02c265ecdf0d073,uuid,pass,ROKUS_TO_LAN_1900,VLAN_MEDIA,mvc_filter,,,e0bf1c8fa22ac7baf02c265ecdf0d073,39,1
e5825a40-2478-4839-8734-ab3710eeb825,uuid,pass,LAN_NTP,lan,download_rules,,,e5825a40-2478-4839-8734-ab3710eeb825,131,1
e89db2cb-7847-4c90-8fea-5b5ecf904fb2,uuid,pass,LAN to VPN,lan,download_rules,,,e89db2cb-7847-4c90-8fea-5b5ecf904fb2,191,1
eb500c5415b8000071fe20bf27fd3767,uuid,pass,Monero P2P,WAN_ATT,mvc_filter,,,eb500c5415b8000071fe20bf27fd3767,7,1
ecceafe5ab2d4d90af398aea146c8e6e,uuid,block,CrowdSec (IPv6) in,floating,mvc_filter,,,ecceafe5ab2d4d90af398aea146c8e6e,000001.1000012,1
ed516f08-9a97-4eec-b794-41807d9875d2,uuid,rdr,Monero P2P,wan,mvc_nat,,,ed516f08-9a97-4eec-b794-41807d9875d2,900,
eebcd18a-6efb-420d-87a1-cecd48b0e88f,uuid,pass,VLAN_MEDIA_Internet,opt6,download_rules,,,eebcd18a-6efb-420d-87a1-cecd48b0e88f,421,1
f018c27d-b7ee-4c2b-a100-e32aaa835d92,uuid,pass,VPN access,wan,download_rules,,,f018c27d-b7ee-4c2b-a100-e32aaa835d92,61,1
f1c7c57e-5804-46d9-a248-6236f23588a4,uuid,rdr,Docker quillofphil HTTP,"lan,wan",mvc_nat,,,f1c7c57e-5804-46d9-a248-6236f23588a4,700,
f3d35640-016b-4549-ba74-d7d0ef9ea519,uuid,pass,Docker quillofphil HTTPS,"lan,wan",download_rules,,,f3d35640-016b-4549-ba74-d7d0ef9ea519,41,1
f53738cb-b33c-4cfb-a8e0-f843b3a5eb16,uuid,rdr,Docker quillofphil HTTPS,"lan,wan",mvc_nat,,,f53738cb-b33c-4cfb-a8e0-f843b3a5eb16,800,
f721f423-1b0e-4663-96a6-58d72cc0a9b2,uuid,pass,VLANCAM_TO_TV,opt5,download_rules,,,f721f423-1b0e-4663-96a6-58d72cc0a9b2,291,1
fae559338f65e11c53669fc3642c93c2,uuid,pass,let out anything from firewall host itself,floating,mvc_filter,,,fae559338f65e11c53669fc3642c93c2,000005.1000048,1
fb28cb12-567c-4a8a-bffa-22969cee35a9,uuid,pass,LAN2IOT_RADIO,lan,download_rules,,,fb28cb12-567c-4a8a-bffa-22969cee35a9,231,1
lockout_2,uuid,rdr,Anti-Lockout Rule,lan,mvc_nat,,,lockout_2,,
